model_key,mode,gate_type,feature_bundle,selected_trial,params_json,category_top_k,dataset_top_k,cluster_top_k,threshold,accuracy_mean,accuracy_std,open_precision_mean,open_precision_std,open_recall_mean,open_recall_std,open_f1_mean,open_f1_std,closed_precision_mean,closed_precision_std,closed_recall_mean,closed_recall_std,closed_f1_mean,closed_f1_std,pr_auc_closed_mean,pr_auc_closed_std
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,20,45,0.5,0.8878419527528117,0.007274125989554147,0.9172867873014171,0.0029603725373375913,0.9634523809523811,0.010035368293194085,0.9397669762521176,0.004224484495101489,0.277910700865451,0.047689199388236465,0.13717627401837929,0.03665902020778808,0.181019571167721,0.036020850603083555,0.18972290731968117,0.028088814764850617
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,20,55,0.5,0.8874090523199113,0.007676172142746278,0.9174345624929533,0.0028252307230403266,0.9627380952380954,0.01014073306621277,0.9395057829523059,0.004442384230922356,0.27796855531289355,0.05025481914289185,0.139515455304929,0.03501018305824768,0.18335100768327262,0.03532772971657504,0.19133195235201192,0.02989024913246328
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,25,35,0.5,0.8865432514541104,0.009347876999672867,0.9175542910538436,0.002886640164931932,0.9615476190476192,0.012438055130103777,0.9389852617154608,0.005460530371447371,0.27727806215136663,0.05208731073744893,0.14187552213868002,0.03740831809096818,0.18448263024472517,0.035378910714138956,0.19117906041205449,0.030416953686547208
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,25,45,0.5,0.8878419527528117,0.007274125989554147,0.9172867873014171,0.0029603725373375913,0.9634523809523811,0.010035368293194085,0.9397669762521176,0.004224484495101489,0.277910700865451,0.047689199388236465,0.13717627401837929,0.03665902020778808,0.181019571167721,0.036020850603083555,0.18972290731968117,0.028088814764850617
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,25,55,0.5,0.8874090523199113,0.007676172142746278,0.9174345624929533,0.0028252307230403266,0.9627380952380954,0.01014073306621277,0.9395057829523059,0.004442384230922356,0.27796855531289355,0.05025481914289185,0.139515455304929,0.03501018305824768,0.18335100768327262,0.03532772971657504,0.19133195235201192,0.02989024913246328
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,30,35,0.5,0.8865432514541104,0.009347876999672867,0.9175542910538436,0.002886640164931932,0.9615476190476192,0.012438055130103777,0.9389852617154608,0.005460530371447371,0.27727806215136663,0.05208731073744893,0.14187552213868002,0.03740831809096818,0.18448263024472517,0.035378910714138956,0.19117906041205449,0.030416953686547208
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,30,45,0.5,0.8878419527528117,0.007274125989554147,0.9172867873014171,0.0029603725373375913,0.9634523809523811,0.010035368293194085,0.9397669762521176,0.004224484495101489,0.277910700865451,0.047689199388236465,0.13717627401837929,0.03665902020778808,0.181019571167721,0.036020850603083555,0.18972290731968117,0.028088814764850617
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,30,55,0.5,0.8874090523199113,0.007676172142746278,0.9174345624929533,0.0028252307230403266,0.9627380952380954,0.01014073306621277,0.9395057829523059,0.004442384230922356,0.27796855531289355,0.05025481914289185,0.139515455304929,0.03501018305824768,0.18335100768327262,0.03532772971657504,0.19133195235201192,0.02989024913246328
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,35,35,0.5,0.8865432514541104,0.009347876999672867,0.9175542910538436,0.002886640164931932,0.9615476190476192,0.012438055130103777,0.9389852617154608,0.005460530371447371,0.27727806215136663,0.05208731073744893,0.14187552213868002,0.03740831809096818,0.18448263024472517,0.035378910714138956,0.19117906041205449,0.030416953686547208
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,35,45,0.5,0.8878419527528117,0.007274125989554147,0.9172867873014171,0.0029603725373375913,0.9634523809523811,0.010035368293194085,0.9397669762521176,0.004224484495101489,0.277910700865451,0.047689199388236465,0.13717627401837929,0.03665902020778808,0.181019571167721,0.036020850603083555,0.18972290731968117,0.028088814764850617
lr,single,production,low_plus_medium,14,"{""C"": 0.018702742958488373, ""class_weight"": {""0"": 3.5, ""1"": 1.0}, ""max_iter"": 1000, ""solver"": ""lbfgs""}",10,35,55,0.5,0.8874090523199113,0.007676172142746278,0.9174345624929533,0.0028252307230403266,0.9627380952380954,0.01014073306621277,0.9395057829523059,0.004442384230922356,0.27796855531289355,0.05025481914289185,0.139515455304929,0.03501018305824768,0.18335100768327262,0.03532772971657504,0.19133195235201192,0.02989024913246328
